m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
53,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia and New Zealand,2020,1.41965812,%,E,true
53,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia and New Zealand,2021,1.715140415,%,E,true
53,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia and New Zealand,2022,1.757875458,%,E,true
40,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2020,0.15958816,%,E,false
40,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2021,0.15958816,%,E,false
40,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2022,0.15958816,%,E,false
31,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2020,32.320115357,%,E,false
31,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2021,34.497476568,%,E,false
31,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2022,34.497476568,%,E,false
48,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2020,124.74137931,%,I,false
48,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2021,124.74137931,%,I,false
48,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2022,124.74137931,%,I,false
50,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2020,2.567170212,%,I,false
50,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2021,2.567170212,%,I,false
50,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2022,2.567170212,%,I,false
52,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2020,68.5,%,I,false
52,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2021,68.5,%,I,false
52,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2022,68.5,%,I,false
112,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2020,0.633851468,%,E,false
112,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2021,0.683937824,%,E,false
112,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2022,0.664939551,%,E,false
56,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2020,0.279781421,%,E,false
56,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2021,0.229344262,%,E,false
56,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2022,0.229344262,%,E,false
84,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2020,0.314714273,%,E,false
84,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2021,0.314714273,%,E,false
84,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2022,0.314714273,%,E,false
204,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2020,0.223569534,%,I,false
204,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2021,0.223569534,%,I,false
204,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2022,0.223569534,%,I,false
64,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2020,0.407692308,%,I,false
64,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2021,0.407692308,%,I,false
64,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2022,0.407692308,%,I,false
68,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2020,0.334494774,%,I,false
68,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2021,0.334494774,%,I,false
68,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2022,0.334494774,%,I,false
72,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2020,0.665601307,%,E,false
72,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2021,0.637251128,%,E,false
72,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2022,0.487425302,%,E,false
76,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2020,0.479010061,%,E,false
76,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2021,0.477275356,%,E,false
76,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2022,0.478038626,%,E,false
96,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2020,0.062352941,%,I,false
96,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2021,0.062352941,%,I,false
96,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2022,0.062352941,%,I,false
100,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2020,3.056338028,%,E,false
100,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2021,3.44600939,%,E,false
100,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2022,3.410487615,%,E,false
854,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2020,3.116296296,%,I,false
854,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2021,3.116296296,%,I,false
854,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2022,3.116296296,%,I,false
108,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2020,1.770899809,%,I,false
108,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2021,1.770899809,%,I,false
108,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2022,1.770899809,%,I,false
132,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2020,37.733583333,%,E,false
132,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2021,36.42317,%,E,false
132,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2022,34.405786667,%,E,false
116,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2020,0.43121193,%,I,false
116,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2021,0.43121193,%,I,false
116,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2022,0.43121193,%,I,false
120,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2020,0.260286067,%,I,false
120,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2021,0.260286067,%,I,false
120,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2022,0.260286067,%,I,false
124,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2020,0.132977257,%,I,false
124,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2021,0.132977257,%,I,false
124,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2022,0.132977257,%,I,false
140,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2020,0.000283688,%,I,false
140,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2021,0.000283688,%,I,false
140,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2022,0.000283688,%,I,false
143,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central Asia,2020,40.741585903,%,E,true
143,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central Asia,2021,37.159556377,%,E,true
143,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central Asia,2022,37.534633426,%,E,true
62,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central and Southern Asia,2020,41.206293424,%,E,true
62,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central and Southern Asia,2021,40.902672229,%,E,true
62,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central and Southern Asia,2022,40.934464985,%,E,true
148,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2020,1.470897155,%,I,false
148,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2021,1.470897155,%,I,false
148,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2022,1.470897155,%,I,false
152,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2020,3.187225099,%,I,false
152,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2021,3.187225099,%,I,false
152,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2022,3.187225099,%,I,false
156,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2020,12.718733056,%,E,false
156,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2021,12.718733056,%,E,false
156,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2022,12.718733056,%,E,false
170,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2020,0.802759322,%,E,false
170,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2021,0.842618644,%,E,false
170,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2022,0.866927966,%,E,false
174,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2020,0.391666667,%,I,false
174,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2021,0.391666667,%,I,false
174,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2022,0.391666667,%,I,false
178,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2020,0.000480769,%,I,false
178,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2021,0.000480769,%,I,false
178,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2022,0.000480769,%,I,false
188,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2020,1.836300021,%,E,false
188,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2021,1.852119631,%,E,false
188,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2022,1.852119631,%,E,false
191,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2020,0.072037915,%,I,false
191,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2021,0.072037915,%,I,false
191,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2022,0.072037915,%,I,false
192,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2020,11.854669465,%,I,false
192,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2021,11.854669465,%,I,false
192,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2022,11.854669465,%,I,false
196,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2020,22.051282051,%,E,false
196,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2021,23.076923077,%,E,false
196,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2022,22.692307692,%,E,false
203,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2020,0.296577947,%,E,false
203,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2021,0.281368821,%,E,false
203,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2022,0.33460076,%,E,false
384,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2020,0.713097219,%,I,false
384,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2021,0.713097219,%,I,false
384,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2022,0.713097219,%,I,false
408,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2020,8.567725211,%,I,false
408,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2021,8.567725211,%,I,false
408,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2022,8.567725211,%,I,false
180,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2020,0.005604053,%,I,false
180,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2021,0.005604053,%,I,false
180,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2022,0.005604053,%,I,false
208,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2020,8.130316667,%,E,false
208,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2021,8.654066667,%,E,false
208,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2022,8.44145,%,E,false
262,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2020,1,%,I,false
262,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2021,1,%,I,false
262,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2022,1,%,I,false
212,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2020,0.5,%,I,false
212,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2021,0.5,%,I,false
212,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2022,0.5,%,I,false
214,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2020,32.182978723,%,I,false
214,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2021,32.182978723,%,I,false
214,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2022,32.182978723,%,I,false
30,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern Asia,2020,12.765556366,%,E,true
30,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern Asia,2021,12.759717492,%,E,true
30,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern Asia,2022,12.759717492,%,E,true
753,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern and South-Eastern Asia,2020,10.279348979,%,E,true
753,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern and South-Eastern Asia,2021,10.276787609,%,E,true
753,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern and South-Eastern Asia,2022,10.277685046,%,E,true
218,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2020,1.825497287,%,I,false
218,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2021,1.825497287,%,I,false
218,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2022,1.825497287,%,I,false
818,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2020,106.695652174,%,I,false
818,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2021,106.695652174,%,I,false
818,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2022,106.695652174,%,I,false
222,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2020,1.36958558,%,E,false
222,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2021,1.973825797,%,E,false
222,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2022,5.371069661,%,E,false
226,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2020,0.003846154,%,I,false
226,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2021,0.003846154,%,I,false
226,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2022,0.003846154,%,I,false
232,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2020,7.518796993,%,I,false
232,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2021,7.518796993,%,I,false
232,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2022,7.518796993,%,I,false
233,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2020,0.037925652,%,E,false
233,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2021,0.038820623,%,E,false
233,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2022,0.03904512,%,E,false
748,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2020,22.305986696,%,I,false
748,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2021,22.305986696,%,I,false
748,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2022,22.305986696,%,I,false
231,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2020,7.940163934,%,I,false
231,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2021,7.940163934,%,I,false
231,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2022,7.940163934,%,I,false
150,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe,2020,1.250027191,%,E,true
150,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe,2021,1.230765485,%,E,true
150,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe,2022,1.218760324,%,E,true
513,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe and Northern America,2020,2.128643879,%,E,true
513,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe and Northern America,2021,2.11816718,%,E,true
513,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe and Northern America,2022,2.111637413,%,E,true
242,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2020,0.175131349,%,I,false
242,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2021,0.175131349,%,I,false
242,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2022,0.175131349,%,I,false
246,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2020,0.909090909,%,E,false
246,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2021,0.909090909,%,E,false
246,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2022,0.909090909,%,E,false
250,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2020,1.630474938,%,E,false
250,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2021,1.192020651,%,E,false
250,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2022,1.192020651,%,E,false
266,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2020,0.024277108,%,I,false
266,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2021,0.024277108,%,I,false
266,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2022,0.024277108,%,I,false
270,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2020,0.49,%,I,false
270,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2021,0.49,%,I,false
270,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2022,0.49,%,I,false
268,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2020,1.117748302,%,E,false
268,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2021,1.184083373,%,E,false
268,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2022,0.685236065,%,E,false
276,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2020,0.697838312,%,E,false
276,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2021,0.697838312,%,E,false
276,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2022,0.697838312,%,E,false
288,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2020,1.903914591,%,I,false
288,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2021,1.903914591,%,I,false
288,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2022,1.903914591,%,I,false
300,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2020,11.852339181,%,I,false
300,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2021,11.852339181,%,I,false
300,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2022,11.852339181,%,I,false
308,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2020,1.05,%,I,false
308,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2021,1.05,%,I,false
308,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2022,1.05,%,I,false
320,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2020,1.47447424,%,I,false
320,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2021,1.47447424,%,I,false
320,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2022,1.47447424,%,I,false
324,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2020,0.265486726,%,I,false
324,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2021,0.265486726,%,I,false
324,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2022,0.265486726,%,I,false
624,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2020,0.458598726,%,I,false
624,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2021,0.458598726,%,I,false
624,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2022,0.458598726,%,I,false
328,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2020,0.502952029,%,I,false
328,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2021,0.502952029,%,I,false
328,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2022,0.502952029,%,I,false
332,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2020,8.622165169,%,I,false
332,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2021,8.622165169,%,I,false
332,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2022,8.622165169,%,I,false
340,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2020,1.27815633,%,I,false
340,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2021,1.27815633,%,I,false
340,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2022,1.27815633,%,I,false
348,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2020,0.49875,%,E,false
348,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2021,0.497332692,%,E,false
